"q_demos_state","year","month","order_totals","log_total","count","count_female","count_male","count_less5","count_5to10","count_over10","count_hh1","count_hh2","count_hh3","count_hh4","count_howmany1","count_howmany2","count_howmany3","count_howmany4","count_1824","count_2534","count_3544","count_4554","count_5564","count_65up","count_und25k","count_2549k","count_5074k","count_7599k","count_100149k","count_150kup","count_lessHS","count_HS","count_B","count_G"
"Alabama",2022,2,6002.31,3.7783184215807855,139,126,13,74,48,17,56,25,30,28,91,24,4,20,6,27,30,45,31,0,33,52,18,4,27,5,0,49,53,37
"Alabama",2022,3,4004.23,3.6025190150765227,116,101,14,60,48,8,51,20,28,17,88,16,1,11,3,20,20,46,27,0,27,43,12,3,27,4,0,37,49,30
"Alabama",2022,4,4407.39,3.6441814819494294,107,102,5,48,55,4,35,24,36,12,71,18,3,15,7,20,14,40,26,0,25,27,19,5,17,14,0,35,29,43
"Alabama",2022,5,6773.47,3.83081121163539,136,121,13,63,68,5,49,26,41,20,89,34,2,11,8,28,16,60,24,0,29,33,25,14,27,8,0,41,48,47
"Alabama",2022,6,7811.59,3.892739440784486,122,106,15,42,76,4,39,26,41,16,72,30,4,16,15,22,14,44,27,0,23,32,16,6,30,15,0,40,42,40
"Alabama",2022,7,7298.47,3.863231827216358,134,123,10,66,60,8,47,26,39,22,92,27,2,13,8,25,21,55,25,0,25,48,15,7,32,7,0,39,50,45
"Alabama",2022,8,5675.79,3.7540263185105283,111,89,20,54,52,5,35,30,27,19,64,34,4,9,3,21,18,53,16,0,12,26,17,10,40,6,0,28,46,37
"Alabama",2022,9,4566.55,3.6595882171805147,104,91,12,42,56,6,35,20,30,19,63,22,4,15,10,20,17,35,22,0,19,26,10,6,33,10,0,33,37,34
"Alabama",2022,10,5205.37,3.7164516047874288,110,91,17,49,47,14,28,27,24,31,58,25,6,21,6,25,27,28,24,0,14,39,18,3,26,10,0,38,38,34
"Alabama",2022,11,6981.13,3.8439257253516113,103,86,16,53,45,5,30,27,21,25,61,29,3,10,6,19,17,37,24,0,14,20,17,9,36,7,0,33,28,42
"Alabama",2022,12,5334.4,3.727085578147911,75,56,17,44,31,0,21,21,17,16,42,24,0,9,3,14,20,18,20,0,6,16,8,5,30,10,0,15,25,35
"Alaska",2018,1,135.79000000000002,2.1328677883190843,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0
"Alaska",2018,3,1143.41,3.0582019861341814,5,3,2,2,3,0,0,5,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2018,4,216.68,2.335818826915165,3,1,2,2,1,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,3,0
"Alaska",2018,5,109.5,2.0394141191761372,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0
"Alaska",2018,6,156.44,2.194347807280093,3,2,1,1,2,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,3,0
"Alaska",2018,7,173.1,2.238297067875394,4,3,1,1,3,0,0,4,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,4,0
"Alaska",2018,8,129.38,2.1118671468044696,3,2,1,1,2,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,3,0
"Alaska",2018,9,275.95,2.4408303984012822,4,3,1,1,3,0,0,4,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,4,0
"Alaska",2018,10,148.48,2.171667958874787,8,8,0,0,8,0,0,8,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2018,11,916.05,2.961919179051547,8,8,0,0,8,0,0,8,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2018,12,101.47,2.006337660374551,4,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0
"Alaska",2019,1,573.96,2.758881626919589,11,4,7,7,4,0,0,11,0,0,11,0,0,0,0,7,4,0,0,0,0,0,3,0,8,0,0,0,11,0
"Alaska",2019,2,204.10999999999999,2.309864282709358,5,2,3,3,2,0,0,5,0,0,5,0,0,0,0,3,2,0,0,0,0,0,2,0,3,0,0,0,5,0
"Alaska",2019,3,412.68,2.6156134218696385,7,5,2,2,5,0,0,7,0,0,7,0,0,0,0,2,5,0,0,0,0,0,2,0,5,0,0,0,7,0
"Alaska",2019,4,248.1,2.394626764272209,3,1,2,2,1,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,3,0
"Alaska",2019,5,337.57,2.5283638437196743,7,3,4,4,3,0,0,7,0,0,7,0,0,0,0,4,3,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2019,6,336.79,2.5273591879069053,7,5,2,2,5,0,0,7,0,0,7,0,0,0,0,2,5,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2019,7,261.78,2.417936463370464,6,4,2,2,4,0,0,6,0,0,6,0,0,0,0,2,4,0,0,0,0,0,0,0,6,0,0,0,6,0
"Alaska",2019,8,168.48999999999998,2.2265741302892867,5,3,2,2,3,0,0,5,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2019,9,361.92,2.5586125832453614,7,7,0,0,7,0,0,7,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2019,10,398.95,2.6009184694091028,8,7,1,1,7,0,0,8,0,0,8,0,0,0,0,1,7,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2019,11,354.69,2.549848944304928,9,5,4,4,5,0,0,9,0,0,9,0,0,0,0,4,5,0,0,0,0,0,0,0,9,0,0,0,9,0
"Alaska",2019,12,504.44,2.702809517017822,13,7,6,6,7,0,0,13,0,0,13,0,0,0,0,6,7,0,0,0,0,0,0,0,13,0,0,0,13,0
"Alaska",2020,1,250.77,2.3992755799507215,3,2,1,1,2,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,3,0
"Alaska",2020,2,176.16,2.2459073016276765,5,3,2,2,3,0,0,5,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2020,3,135.24,2.1311051620937316,5,3,2,2,3,0,0,5,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2020,4,128.65,2.1094097905463656,3,2,1,1,2,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,3,0
"Alaska",2020,5,259.88,2.414772858093331,5,0,5,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2020,6,211.87,2.326069466588894,7,6,1,1,6,0,0,7,0,0,7,0,0,0,0,1,6,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2020,7,320.65999999999997,2.506044788232985,10,5,5,5,5,0,0,10,0,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,10,0
"Alaska",2020,8,150.43,2.1773344555057004,8,8,0,0,8,0,0,8,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2020,9,259.42,2.4140034549971356,8,3,5,5,3,0,0,8,0,0,8,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2020,10,909.09,2.9586068805470758,10,6,4,4,6,0,0,9,0,1,10,0,0,0,0,4,6,0,0,0,0,0,1,0,9,0,0,1,9,0
"Alaska",2020,11,535.6999999999999,2.7289216463728594,12,6,6,6,6,0,0,11,0,1,12,0,0,0,0,6,6,0,0,0,0,0,1,0,11,0,0,1,11,0
"Alaska",2020,12,473.62,2.6754300334662187,10,8,2,2,8,0,0,10,0,0,10,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,10,0
"Alaska",2021,1,385,2.5854607295085006,5,0,5,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,5,0
"Alaska",2021,2,340.59,2.532231892573809,4,2,2,2,2,0,0,4,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,4,0
"Alaska",2021,3,385.27,2.585765192917218,7,3,4,4,3,0,0,7,0,0,7,0,0,0,0,4,3,0,0,0,0,0,1,0,6,0,0,0,7,0
"Alaska",2021,4,252.32,2.4019516759848276,6,2,4,4,2,0,0,6,0,0,6,0,0,0,0,4,2,0,0,0,0,0,0,0,6,0,0,0,6,0
"Alaska",2021,5,235.64,2.372249014063956,4,3,1,1,3,0,0,4,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,4,0
"Alaska",2021,6,569.61,2.7555776051138716,10,7,3,3,7,0,0,10,0,0,10,0,0,0,0,3,7,0,0,0,0,0,1,0,9,0,0,0,10,0
"Alaska",2021,7,426.38,2.6297968252555064,8,6,2,2,6,0,0,8,0,0,8,0,0,0,0,2,6,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2021,8,858.8199999999999,2.9339021496306525,13,8,5,5,8,0,0,13,0,0,13,0,0,0,0,5,8,0,0,0,0,0,0,0,13,0,0,0,13,0
"Alaska",2021,9,419.93,2.623176901951712,9,7,2,2,7,0,0,9,0,0,9,0,0,0,0,2,7,0,0,0,0,0,0,0,9,0,0,0,9,0
"Alaska",2021,10,295.84,2.471056893815098,9,5,4,4,5,0,0,9,0,0,9,0,0,0,0,4,5,0,0,0,0,0,0,0,9,0,0,0,9,0
"Alaska",2021,11,456.43,2.659374181772188,11,9,2,2,9,0,0,11,0,0,11,0,0,0,0,2,9,0,0,0,0,0,1,0,10,0,0,0,11,0
"Alaska",2021,12,383.01,2.583210113102105,10,7,3,3,7,0,0,10,0,0,10,0,0,0,0,3,7,0,0,0,0,0,0,0,10,0,0,0,10,0
"Alaska",2022,1,305.21,2.4845987588820284,4,2,2,2,2,0,0,4,0,0,4,0,0,0,0,2,2,0,0,0,0,0,1,0,3,0,0,0,4,0
"Alaska",2022,2,105.43,2.022964206517993,5,3,2,2,3,0,0,5,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,5,0
"Alaska",2022,4,487.5,2.687974620034556,13,9,4,4,9,0,0,13,0,0,13,0,0,0,0,4,9,0,0,0,0,0,0,0,13,0,0,0,13,0
"Alaska",2022,5,447.08,2.6503852422591847,7,5,2,2,5,0,0,7,0,0,7,0,0,0,0,2,5,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2022,6,213,2.3283796034387376,7,5,2,2,5,0,0,7,0,0,7,0,0,0,0,2,5,0,0,0,0,0,1,0,6,0,0,0,7,0
"Alaska",2022,7,385.02,2.585483289674834,8,3,5,5,3,0,0,8,0,0,8,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,0,0,8,0
"Alaska",2022,8,279.87,2.4469563477954597,7,4,3,3,4,0,0,7,0,0,7,0,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0,7,0
"Alaska",2022,9,728.54,2.862453401407827,10,7,3,3,7,0,0,10,0,0,10,0,0,0,0,3,7,0,0,0,0,0,1,0,9,0,0,0,10,0
"Alaska",2022,10,2033.72,3.30829115958693,17,10,7,7,10,0,0,17,0,0,17,0,0,0,0,7,10,0,0,0,0,0,3,0,14,0,0,0,17,0
"Alaska",2022,11,845.23,2.926974903197167,9,6,3,3,6,0,0,9,0,0,9,0,0,0,0,3,6,0,0,0,0,0,1,0,8,0,0,0,9,0
"Alaska",2022,12,656.77,2.8174133068214653,10,9,1,1,9,0,0,10,0,0,10,0,0,0,0,1,9,0,0,0,0,0,1,0,9,0,0,0,10,0
"Arizona",2018,1,3018.25,3.4797552093043174,69,43,23,24,17,28,23,37,2,7,43,25,0,1,0,13,33,1,13,9,3,15,7,8,7,7,0,14,17,16
"Arizona",2018,2,4044.72,3.6068884624961615,60,29,29,22,18,20,19,27,2,12,40,17,0,3,7,5,25,1,15,7,2,7,6,5,12,13,0,14,20,11
"Arizona",2018,3,4331.52,3.6366403240148544,55,34,19,17,17,21,14,27,4,10,32,18,0,5,3,6,27,0,10,9,0,13,10,5,9,4,0,12,15,14
"Arizona",2018,4,2554.2,3.40725490056078,63,41,21,22,20,21,22,22,4,15,44,18,0,1,6,12,23,3,11,8,3,15,13,5,10,3,0,17,20,12
"Arizona",2018,5,3713.88,3.5698278670451793,63,45,18,20,24,19,18,31,0,14,40,21,0,2,0,17,32,1,5,8,2,7,12,7,15,5,0,12,23,13
"Arizona",2018,6,3692.56,3.5673275608444364,61,32,29,25,23,13,26,21,3,11,44,14,0,3,2,15,23,3,12,6,6,8,10,6,12,10,0,10,26,17
"Arizona",2018,7,3890.04,3.589954067055775,78,35,42,34,29,15,41,22,2,13,60,14,0,4,2,17,28,2,19,10,2,16,14,8,18,13,0,15,32,24
"Arizona",2018,8,3338.2599999999998,3.523520158636797,62,37,23,21,24,17,23,22,6,11,40,17,0,5,4,11,29,2,8,8,1,10,14,4,14,7,0,12,23,17
"Arizona",2018,9,2214.69,3.345312944684858,76,42,32,30,27,19,24,31,6,15,43,27,0,6,1,21,35,3,8,8,7,10,17,7,14,7,0,17,23,22
"Arizona",2018,10,3646.06,3.5618238111797664,63,39,24,19,27,17,26,17,5,15,40,19,0,4,0,20,25,2,9,7,4,11,14,6,11,7,0,16,21,16
"Arizona",2018,11,4156,3.6186755388851397,74,45,28,26,36,12,21,21,8,24,57,16,0,1,7,22,27,4,7,7,5,12,18,2,23,5,0,21,26,20
"Arizona",2018,12,5076.22,3.7055404358646618,86,47,34,35,31,20,23,33,10,20,52,30,0,4,11,23,29,4,12,7,11,8,16,8,16,12,0,26,30,16
"Arizona",2019,1,3554.08,3.5507271992620577,63,39,21,19,26,18,13,26,5,19,40,22,0,1,11,19,20,0,3,10,3,8,17,7,14,3,0,18,18,16
"Arizona",2019,2,2666.9,3.426006731377011,52,31,21,16,21,15,19,20,0,13,32,17,0,3,1,13,22,1,8,7,1,6,11,8,9,7,0,7,22,13
"Arizona",2019,3,2763.09,3.441395031086181,69,37,30,27,20,22,27,28,4,10,42,21,0,6,2,10,35,1,13,8,1,10,13,5,13,11,0,10,26,17
"Arizona",2019,4,3634.2799999999997,3.5604183841086234,67,34,32,24,28,15,27,21,3,16,49,15,0,3,4,19,21,1,13,9,2,13,15,9,13,7,0,19,24,16
"Arizona",2019,5,5419.7,3.733975247433134,80,48,30,20,35,25,30,21,6,23,58,19,0,3,7,20,28,1,11,13,2,15,18,7,17,8,0,16,29,22
"Arizona",2019,6,4160.34,3.6191288243983744,73,46,26,23,29,21,21,27,3,22,42,29,0,2,7,22,23,1,11,9,1,12,18,8,11,8,0,20,23,15
"Arizona",2019,7,6193.21,3.7919158063610876,88,55,31,19,41,28,28,35,1,24,50,35,0,3,6,25,35,1,9,12,4,13,20,9,18,7,0,22,25,24
"Arizona",2019,8,3064.72,3.4863908025054267,66,41,24,17,23,26,21,29,3,13,43,20,0,3,2,11,34,0,8,11,2,10,11,5,14,7,0,7,20,22
"Arizona",2019,9,2180.42,3.3385401569594944,74,52,22,16,33,25,19,32,5,18,45,25,0,4,1,24,28,0,10,11,3,12,17,8,10,9,0,13,26,20
"Arizona",2019,10,2437.08,3.3868697856427863,57,45,12,9,28,20,15,22,6,14,38,19,0,0,1,21,24,0,2,9,1,10,11,9,12,1,0,11,18,16
"Arizona",2019,11,3802.82,3.5801057693093457,93,62,31,20,39,34,28,41,3,21,55,35,0,3,0,23,41,0,16,13,2,16,20,5,16,12,0,22,22,27
"Arizona",2019,12,4742.46,3.676003676544878,93,61,29,21,49,23,22,35,11,25,51,39,0,3,6,36,32,1,8,10,5,10,26,13,15,8,0,25,26,27
"Arizona",2020,1,3835.46,3.58381745784988,85,55,29,23,34,28,28,33,3,21,49,34,0,2,2,25,31,0,15,12,1,14,20,10,10,11,0,19,27,20
"Arizona",2020,2,3626.23,3.5594553465225878,69,51,17,12,41,16,14,32,5,18,39,29,0,1,1,28,28,0,6,6,3,7,17,12,15,4,0,21,21,16
"Arizona",2020,3,5464.9800000000005,3.7375885769159995,101,55,44,27,52,22,34,48,5,14,67,33,0,1,1,30,41,6,11,12,12,12,15,14,25,9,0,23,27,37
"Arizona",2020,4,4714.5,3.673435640073261,99,67,31,28,40,31,30,46,6,17,61,35,0,3,2,31,39,5,6,16,11,15,16,17,17,3,0,18,35,26
"Arizona",2020,5,5641.92,3.751426923753967,129,81,46,41,53,35,39,50,18,22,82,42,0,5,6,38,42,9,16,18,4,28,20,30,17,9,0,26,52,30
"Arizona",2020,6,5790.06,3.76268306416507,107,75,30,32,49,26,30,41,16,20,70,33,0,4,2,32,34,5,18,16,2,24,20,19,17,12,0,30,37,27
"Arizona",2020,7,5354.58,3.7287254115197217,110,68,36,41,47,22,34,35,19,22,71,36,0,3,8,41,24,8,17,12,6,20,28,19,10,15,0,24,52,22
"Arizona",2020,8,5651.47,3.7521614265544168,123,82,37,41,59,23,29,45,15,34,88,32,0,3,5,47,35,3,17,16,4,23,34,20,20,11,0,36,48,28
"Arizona",2020,9,5033.92,3.701906309377893,112,76,33,30,57,25,28,42,10,32,67,38,0,7,4,50,32,0,10,16,5,17,35,20,14,9,0,26,49,25
"Arizona",2020,10,5433.25,3.7350596886749026,109,70,37,37,49,23,29,37,10,33,73,29,0,7,1,47,33,1,16,11,4,17,36,15,11,12,0,22,51,22
"Arizona",2020,11,6400.8,3.8062342574014822,108,74,31,41,39,28,31,44,14,19,76,30,0,2,4,30,36,6,20,12,2,24,27,10,15,11,0,33,35,21
"Arizona",2020,12,8474.53,3.92811562143953,127,93,32,46,56,25,27,57,15,28,80,44,0,3,4,52,36,9,13,13,7,25,38,13,18,10,0,50,35,27
"Arizona",2021,1,5568.79,3.7457608408811764,122,71,48,48,53,21,36,41,15,30,84,33,0,5,5,43,32,8,20,14,4,20,35,16,17,18,0,28,52,30
"Arizona",2021,2,4301.37,3.6336068017837935,89,59,29,25,38,26,22,39,8,20,59,27,0,3,3,29,28,2,13,14,2,17,21,11,12,11,0,21,30,23
"Arizona",2021,3,5445.66,3.7360505226570244,123,83,35,38,61,24,30,42,16,35,81,38,0,4,8,47,36,5,12,15,5,22,39,20,19,5,0,43,41,26
"Arizona",2021,4,5741.82,3.7590495737000116,105,72,32,33,44,28,31,37,13,24,72,29,0,4,2,34,37,8,13,11,4,19,25,14,14,10,0,23,44,19
"Arizona",2021,5,5335.75,3.727195473051675,107,82,24,23,49,35,23,46,9,29,63,42,0,2,2,37,44,7,4,13,2,17,29,12,18,4,0,24,33,25
"Arizona",2021,6,7338.23,3.8655913195983764,126,91,30,46,55,25,28,45,24,29,87,39,0,0,7,53,27,11,14,14,4,27,33,27,11,7,0,45,45,20
"Arizona",2021,7,6083.1,3.784124955882818,123,80,40,41,48,34,31,53,10,29,81,36,0,6,4,34,47,5,20,13,2,18,27,14,17,21,0,27,50,23
